T (K);H (kJ/kmol)
146,85;-86962,9761
146,9;-86959,9616
146,95;-86956,90524
147;-86953,84888
147,05;-86950,83438
147,1;-86947,77802
147,15;-86944,76352
147,2;-86941,70716
147,25;-86938,65079
147,3;-86935,59443
147,35;-86932,57993
147,4;-86929,52357
147,45;-86926,4672
147,5;-86923,41084
147,55;-86920,39634
147,6;-86917,33998
147,65;-86914,28362
147,7;-86911,22725
147,75;-86908,17089
147,8;-86905,11452
147,85;-86902,05816
147,9;-86899,0018
147,95;-86895,94543
148;-86892,88907
148,05;-86889,8327
148,1;-86886,77634
148,15;-86883,71998
148,2;-86880,66361
148,25;-86877,60725
148,3;-86874,55088
148,35;-86871,49452
148,4;-86868,43816
148,45;-86865,38179
148,5;-86862,32543
148,55;-86859,2272
148,6;-86856,17083
148,65;-86853,11447
148,7;-86850,0581
148,75;-86846,95987
148,8;-86843,90351
148,85;-86840,84714
148,9;-86837,74891
148,95;-86834,69255
149;-86831,63618
149,05;-86828,53795
149,1;-86825,48159
149,15;-86822,38336
149,2;-86819,32699
149,25;-86816,27063
149,3;-86813,1724
149,35;-86810,11603
149,4;-86807,0178
149,45;-86803,91957
149,5;-86800,8632
149,55;-86797,76497
149,6;-86794,70861
149,65;-86791,61038
149,7;-86788,51214
149,75;-86785,45578
149,8;-86782,35755
149,85;-86779,25932
149,9;-86776,20295
149,95;-86773,10472
150;-86770,00649
150,05;-86766,90826
150,1;-86763,81002
150,15;-86760,75366
150,2;-86757,65543
150,25;-86754,5572
150,3;-86751,45896
150,35;-86748,36073
150,4;-86745,2625
150,45;-86742,16427
150,5;-86739,06604
150,55;-86735,9678
150,6;-86732,86957
150,65;-86729,77134
150,7;-86726,67311
150,75;-86723,57488
150,8;-86720,47664
150,85;-86717,37841
150,9;-86714,23831
150,95;-86711,14008
151;-86708,04185
151,05;-86704,94362
151,1;-86701,84538
151,15;-86698,70528
151,2;-86695,60705
151,25;-86692,50882
151,3;-86689,36872
151,35;-86686,27049
151,4;-86683,17226
151,45;-86680,03216
151,5;-86676,93392
151,55;-86673,79382
151,6;-86670,69559
151,65;-86667,59736
151,7;-86664,45726
151,75;-86661,35903
151,8;-86658,21893
151,85;-86655,07883
151,9;-86651,9806
151,95;-86648,8405
152;-86645,74226
152,05;-86642,60216
152,1;-86639,46206
152,15;-86636,36383
152,2;-86633,22373
152,25;-86630,08363
152,3;-86626,94353
152,35;-86623,8453
152,4;-86620,7052
152,45;-86617,5651
152,5;-86614,425
152,55;-86611,2849
152,6;-86608,1448
152,65;-86605,0047
152,7;-86601,8646
152,75;-86598,7245
152,8;-86595,5844
152,85;-86592,4443
152,9;-86589,3042
152,95;-86586,1641
153;-86583,024
153,05;-86579,8839
153,1;-86576,7438
153,15;-86573,6037
153,2;-86570,4636
153,25;-86567,28163
153,3;-86564,14153
153,35;-86561,00143
153,4;-86557,86133
153,45;-86554,67936
153,5;-86551,53926
153,55;-86548,39916
153,6;-86545,2172
153,65;-86542,0771
153,7;-86538,937
153,75;-86535,75503
153,8;-86532,61493
153,85;-86529,43296
153,9;-86526,29286
153,95;-86523,11089
154;-86519,97079
154,05;-86516,78882
154,1;-86513,60686
154,15;-86510,46676
154,2;-86507,28479
154,25;-86504,14469
154,3;-86500,96272
154,35;-86497,78075
154,4;-86494,59878
154,45;-86491,45868
154,5;-86488,27672
154,55;-86485,09475
154,6;-86481,91278
154,65;-86478,73081
154,7;-86475,54884
154,75;-86472,40874
154,8;-86469,22678
154,85;-86466,04481
154,9;-86462,86284
154,95;-86459,68087
155;-86456,4989
155,05;-86453,31694
155,1;-86450,13497
155,15;-86446,91113
155,2;-86443,72916
155,25;-86440,5472
155,3;-86437,36523
155,35;-86434,18326
155,4;-86430,95942
155,45;-86427,77746
155,5;-86424,59549
155,55;-86421,41352
155,6;-86418,18968
155,65;-86415,00772
155,7;-86411,82575
155,75;-86408,60191
155,8;-86405,41994
155,85;-86402,19611
155,9;-86399,01414
155,95;-86395,7903
156;-86392,60834
156,05;-86389,3845
156,1;-86386,20253
156,15;-86382,9787
156,2;-86379,75486
156,25;-86376,57289
156,3;-86373,34906
156,35;-86370,12522
156,4;-86366,94325
156,45;-86363,71942
156,5;-86360,49558
156,55;-86357,27174
156,6;-86354,04791
156,65;-86350,82407
156,7;-86347,6421
156,75;-86344,41827
156,8;-86341,19443
156,85;-86337,9706
156,9;-86334,74676
156,95;-86331,52292
157;-86328,29909
157,05;-86325,07525
157,1;-86321,80955
157,15;-86318,58571
157,2;-86315,36188
157,25;-86312,13804
157,3;-86308,9142
157,35;-86305,6485
157,4;-86302,42466
157,45;-86299,20083
157,5;-86295,97699
157,55;-86292,71129
157,6;-86289,48745
157,65;-86286,22175
157,7;-86282,99791
157,75;-86279,77408
157,8;-86276,50837
157,85;-86273,28454
157,9;-86270,01883
157,95;-86266,75313
158;-86263,52929
158,05;-86260,26359
158,1;-86257,03975
158,15;-86253,77405
158,2;-86250,50834
158,25;-86247,24264
158,3;-86244,0188
158,35;-86240,7531
158,4;-86237,4874
158,45;-86234,22169
158,5;-86230,95599
158,55;-86227,69028
158,6;-86224,42458
158,65;-86221,20074
158,7;-86217,93504
158,75;-86214,66934
158,8;-86211,36176
158,85;-86208,09606
158,9;-86204,83036
158,95;-86201,56465
159;-86198,29895
159,05;-86195,03324
159,1;-86191,76754
159,15;-86188,45997
159,2;-86185,19426
159,25;-86181,92856
159,3;-86178,62099
159,35;-86175,35528
159,4;-86172,08958
159,45;-86168,78201
159,5;-86165,5163
159,55;-86162,20873
159,6;-86158,94303
159,65;-86155,63546
159,7;-86152,36975
159,75;-86149,06218
159,8;-86145,75461
159,85;-86142,4889
159,9;-86139,18133
159,95;-86135,87376
160;-86132,60806
160,05;-86129,30048
160,1;-86125,99291
160,15;-86122,68534
160,2;-86119,37777
160,25;-86116,11206
160,3;-86112,80449
160,35;-86109,49692
160,4;-86106,18935
160,45;-86102,88178
160,5;-86099,5742
160,55;-86096,26663
160,6;-86092,91719
160,65;-86089,60962
160,7;-86086,30205
160,75;-86082,99448
160,8;-86079,6869
160,85;-86076,33746
160,9;-86073,02989
160,95;-86069,72232
161;-86066,37288
161,05;-86063,06531
161,1;-86059,75774
161,15;-86056,4083
161,2;-86053,10072
161,25;-86049,75128
161,3;-86046,44371
161,35;-86043,09427
161,4;-86039,74483
161,45;-86036,43726
161,5;-86033,08782
161,55;-86029,73838
161,6;-86026,43081
161,65;-86023,08137
161,7;-86019,73193
161,75;-86016,38249
161,8;-86013,03305
161,85;-86009,72548
161,9;-86006,37604
161,95;-86003,0266
162;-85999,67716
162,05;-85996,32772
162,1;-85992,97828
162,15;-85989,62884
162,2;-85986,23753
162,25;-85982,88809
162,3;-85979,53865
162,35;-85976,18921
162,4;-85972,83977
162,45;-85969,44846
162,5;-85966,09902
162,55;-85962,74958
162,6;-85959,35827
162,65;-85956,00883
162,7;-85952,61752
162,75;-85949,26808
162,8;-85945,87678
162,85;-85942,52734
162,9;-85939,13603
162,95;-85935,78659
163;-85932,39528
163,05;-85929,00397
163,1;-85925,65453
163,15;-85922,26322
163,2;-85918,87192
163,25;-85915,48061
163,3;-85912,0893
163,35;-85908,73986
163,4;-85905,34855
163,45;-85901,95724
163,5;-85898,56594
163,55;-85895,17463
163,6;-85891,78332
163,65;-85888,35014
163,7;-85884,95884
163,75;-85881,56753
163,8;-85878,17622
